交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2006-01-25,002019.SZ,鑫富药业,8.96,-10.04,15.4,39700000.0,6967932.55,3491740.35,10459672.9,-3476192.2,-8.76,26.35,253301780.48,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券
2006-01-25,002023.SZ,海特高新,7.92,-10.0,13.39,53810000.0,4936284.15,4735468.04,9671752.19,-200816.11,-0.37,17.97,393426253.44,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券
2006-01-25,002042.SZ,华孚色纺,3.51,-10.0,6.88,12750000.0,909877.61,1427463.0,2337340.61,517585.39,4.06,18.33,182520000.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券
