板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885728.TI,人工智能,2026-01-07,8,11天8板,14,23,-0.2217,1
885756.TI,芯片概念,2026-01-07,4,8天7板,7,22,1.3655,2
885929.TI,专精特新,2026-01-07,3,9天7板,6,20,0.6735,3
885494.TI,一带一路,2026-01-07,1,3天3板,3,19,0.2651,4
885700.TI,军工,2026-01-07,12,9天7板,9,18,0.3638,5
885806.TI,华为概念,2026-01-07,8,9天7板,7,18,0.2594,6
885531.TI,光伏概念,2026-01-07,3,3天3板,4,17,0.9781,7
885921.TI,储能,2026-01-07,2,3天3板,5,17,0.5025,8
885699.TI,ST板块,2026-01-07,1,11天8板,12,17,0.1514,9
885517.TI,机器人概念,2026-01-07,9,9天9板,9,17,0.0299,10
886078.TI,商业航天,2026-01-07,9,8天7板,9,16,0.8007,11
885431.TI,新能源汽车,2026-01-07,28,9天9板,9,14,0.3255,12
886086.TI,西部大开发,2026-01-07,2,9天7板,5,13,0.2233,13
885595.TI,央企国企改革,2026-01-07,1,3天3板,4,13,0.1825,14
885413.TI,创投,2026-01-07,1,9天7板,5,13,0.0442,15
885571.TI,核电,2026-01-07,1,3天3板,2,12,1.1336,16
885739.TI,股权转让(并购重组),2026-01-07,1,14天14板,5,12,0.269,17
885641.TI,风电,2026-01-07,1,2天2板,3,11,0.7253,18
885887.TI,数据中心,2026-01-07,1,11天8板,4,11,0.4007,19
885556.TI,5G,2026-01-07,1,8天7板,2,10,0.5679,20
