板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
886078.TI,商业航天,2026-01-08,10,9天8板,15,39,3.5627,1
885700.TI,军工,2026-01-08,13,9天8板,13,32,2.72,2
885728.TI,人工智能,2026-01-08,9,12天9板,16,27,1.6814,3
885494.TI,一带一路,2026-01-08,2,4天4板,8,25,1.1022,4
885517.TI,机器人概念,2026-01-08,10,10天10板,13,24,1.2167,5
885571.TI,核电,2026-01-08,2,4天4板,9,20,2.1622,6
886067.TI,低空经济,2026-01-08,1,4天4板,7,19,2.0474,7
885699.TI,ST板块,2026-01-08,1,12天9板,9,19,1.0014,8
885921.TI,储能,2026-01-08,3,4天4板,9,19,0.9202,9
885431.TI,新能源汽车,2026-01-08,29,10天10板,8,19,0.7017,10
885426.TI,海工装备,2026-01-08,1,4天3板,6,18,2.4926,11
885574.TI,卫星导航,2026-01-08,2,9天8板,6,17,3.4094,12
885427.TI,高端装备,2026-01-08,1,5天3板,6,17,1.9667,13
885641.TI,风电,2026-01-08,2,3天3板,6,17,1.4484,14
885531.TI,光伏概念,2026-01-08,4,5天3板,4,17,1.3668,15
885929.TI,专精特新,2026-01-08,4,9天8板,7,17,1.3359,16
885806.TI,华为概念,2026-01-08,9,6天5板,8,16,1.1478,17
885887.TI,数据中心,2026-01-08,2,12天9板,6,16,1.1136,18
886086.TI,西部大开发,2026-01-08,3,4天4板,6,16,1.0703,19
885783.TI,工业互联网,2026-01-08,1,6天5板,6,14,1.4597,20
