板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885699.TI,ST板块,2026-02-05,1,10天7板,5,12,0.1952,1
885976.TI,数字经济,2026-02-05,1,10天7板,4,9,-0.4831,2
885728.TI,人工智能,2026-02-05,1,10天7板,4,9,-0.6657,3
885957.TI,东数西算(算力),2026-02-05,1,10天7板,5,9,-0.9764,4
885939.TI,海峡两岸,2026-02-05,1,2天2板,1,8,-0.1909,5
885413.TI,创投,2026-02-05,1,3天3板,2,8,-0.6085,6
886086.TI,西部大开发,2026-02-05,1,5天3板,3,8,-1.0359,7
885494.TI,一带一路,2026-02-05,4,9天7板,4,8,-1.3468,8
885418.TI,文化传媒概念,2026-02-05,1,6天5板,2,7,0.7451,9
886100.TI,DeepSeek概念,2026-02-05,1,10天7板,2,7,-0.6971,10
885497.TI,旅游概念,2026-02-05,1,4天3板,2,6,0.9435,11
885690.TI,PPP概念,2026-02-05,1,9天7板,3,6,-0.5905,12
885705.TI,乡村振兴,2026-02-05,1,9天7板,3,6,-0.5925,13
885412.TI,污水处理,2026-02-05,1,9天7板,3,6,-0.7161,14
885739.TI,股权转让(并购重组),2026-02-05,1,3天2板,2,6,-0.8162,15
886067.TI,低空经济,2026-02-05,1,3天2板,2,6,-0.9174,16
885564.TI,无人机,2026-02-05,1,9天7板,3,6,-1.1948,17
885876.TI,网红经济,2026-02-05,1,4天2板,1,5,1.3021,18
885915.TI,物业管理,2026-02-05,1,5天3板,3,5,0.2977,19
885617.TI,福建自贸区,2026-02-05,1,2天2板,1,5,0.1981,20
