板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885699.TI,ST板块,2026-02-13,1,15天11板,6,14,0.2569,1
885431.TI,新能源汽车,2026-02-13,3,4天2板,2,12,-0.3503,2
885728.TI,人工智能,2026-02-13,2,5天5板,4,12,-0.6101,3
885700.TI,军工,2026-02-13,1,4天4板,1,10,-0.3046,4
885806.TI,华为概念,2026-02-13,6,5天5板,4,10,-0.6497,5
885756.TI,芯片概念,2026-02-13,2,4天2板,2,9,-0.3274,6
885564.TI,无人机,2026-02-13,1,15天11板,2,8,-0.0816,7
885957.TI,东数西算(算力),2026-02-13,3,3天3板,2,8,-0.6828,8
885494.TI,一带一路,2026-02-13,5,15天11板,3,8,-1.019,9
885921.TI,储能,2026-02-13,3,3天3板,2,8,-1.0231,10
885739.TI,股权转让(并购重组),2026-02-13,1,7天7板,2,6,-0.2467,11
885770.TI,智能物流,2026-02-13,1,3天3板,3,6,-0.2947,12
885517.TI,机器人概念,2026-02-13,1,5天3板,2,6,-0.372,13
885427.TI,高端装备,2026-02-13,2,4天3板,2,6,-0.395,14
885783.TI,工业互联网,2026-02-13,1,3天3板,1,6,-0.6835,15
885976.TI,数字经济,2026-02-13,1,5天3板,4,6,-0.7536,16
886086.TI,西部大开发,2026-02-13,1,3天3板,2,6,-0.7698,17
885413.TI,创投,2026-02-13,1,7天7板,3,6,-0.7865,18
885743.TI,军民融合,2026-02-13,1,4天4板,1,5,0.1794,19
885662.TI,车联网(车路协同),2026-02-13,1,首板,0,5,0.0712,20
