交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2026-01-19,000400.SZ,许继电气,32.4,10.017,12.32,3976257576.0,416402067.52,672203966.82,1088606034.34,255801899.3,6.43,27.38,32779120791.6,日涨幅偏离值达到7%的前5只证券
2026-01-19,000510.SZ,新金路,16.69,7.6774,18.54,4759200154.0,613917314.36,676004784.55,1289922098.91,62087470.19,1.3,27.1,10125235795.73,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,000592.SZ,平潭发展,11.29,-9.9681,1.62,6868541431.0,504513458.5,455502402.93,960015861.43,-49011055.57,-0.71,13.98,21621393749.21,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,000608.SZ,*ST阳光,3.46,2.9762,10.13,258569855.0,37187727.2,25809097.0,62996824.2,-11378630.2,-4.4,24.36,2579179354.14,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-19,000681.SZ,视觉中国,28.44,-10.0,14.81,2858678045.0,422585941.69,265729961.82,688315903.51,-156855979.87,-5.49,24.08,19232932318.92,日跌幅偏离值达到7%的前5只证券
2026-01-19,000720.SZ,新能泰山,4.0,9.8901,14.85,988261492.0,140143987.1,117460770.0,257604757.1,-22683217.1,-2.3,26.07,5026126284.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,001233.SZ,海安集团,84.06,9.4816,28.0,1226593976.0,251508170.96,353624384.9,605132555.86,102116213.94,8.33,49.33,2974540435.2,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,001255.SZ,博菲电气,49.69,-9.9982,24.77,892362771.0,153849060.5,110289110.0,264138170.5,-43559950.5,-4.88,29.6,3530772640.0,日振幅值达到15%的前5只证券
2026-01-19,001260.SZ,坤泰股份,24.74,4.6974,54.99,406435428.0,51401375.3,85248062.27,136649437.57,33846686.97,8.33,33.62,785495000.0,日振幅值达到15%的前5只证券
2026-01-19,001280.SZ,中国铀业,80.28,7.9032,28.91,9510675802.0,1067503193.94,1355664316.15,2423167510.09,288161122.21,3.03,25.48,12691245152.52,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,001376.SZ,百通能源,19.76,10.0223,11.73,1446257183.0,279156061.4,289897443.08,569053504.48,10741381.68,0.74,39.35,4223755584.88,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,001400.SZ,江顺科技,127.0,8.2786,29.91,554923067.0,100658522.03,100361546.55,201020068.58,-296975.48,-0.05,36.22,1905000000.0,日换手率达到20%的前5只证券
2026-01-19,002028.SZ,思源电气,204.49,10.0,3.9,4660842704.0,872208121.24,964519605.74,1836727726.98,92311484.5,1.98,39.41,124630313969.59,日涨幅偏离值达到7%的前5只证券
2026-01-19,002028.SZ,思源电气,204.49,10.0,3.9,7490623837.0,1400853737.87,1659950291.08,3060804028.95,259096553.21,3.46,40.86,124630313969.59,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002047.SZ,*ST宝鹰,4.42,4.9881,1.84,416039901.0,53975162.84,44747399.81,98722562.65,-9227763.03,-2.22,23.73,6701478967.04,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-19,002112.SZ,三变科技,21.97,10.015,48.63,2592348466.0,140289930.55,260407565.5,400697496.05,120117634.95,4.63,15.46,5757887713.5,日换手率达到20%的前5只证券
2026-01-19,002119.SZ,康强电子,23.48,7.46,40.96,3603862761.0,444880759.78,278653125.57,723533885.35,-166227634.21,-4.61,20.08,8811668320.0,日换手率达到20%的前5只证券
2026-01-19,002163.SZ,海南发展,18.59,10.0,13.46,1934730959.0,304899128.42,343957960.76,648857089.18,39058832.34,2.02,33.54,14937973586.25,日涨幅偏离值达到7%的前5只证券
2026-01-19,002195.SZ,岩山科技,9.62,-9.9251,29.87,20680276990.0,1845348736.06,1565017162.66,3410365898.72,-280331573.4,-1.36,16.49,53884137669.44,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002196.SZ,方正电机,16.53,5.0858,39.47,3198863880.0,702956862.8,426124559.39,1129081422.19,-276832303.41,-8.65,35.3,8071357777.71,日换手率达到20%的前5只证券
2026-01-19,002202.SZ,金风科技,27.7,2.4408,21.15,18598306971.0,1425815134.97,1907276078.07,3333091213.04,481460943.1,2.59,17.92,93187829793.7,日振幅值达到15%的前5只证券
2026-01-19,002231.SZ,*ST奥维,0.89,-5.3191,0.44,5155988.0,1983905.0,1358058.0,3341963.0,-625847.0,-12.14,64.82,273964888.13,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-19,002270.SZ,华明装备,32.49,9.9865,1.8,1933266415.0,409710301.25,470188869.22,879899170.47,60478567.97,3.13,45.51,29117742069.69,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002339.SZ,积成电子,11.4,10.0386,14.01,1468364406.0,196086953.02,192795601.86,388882554.88,-3291351.16,-0.22,26.48,5458247085.6,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002342.SZ,巨力索具,10.79,-4.8501,28.74,2902445873.0,297794347.24,168457443.84,466251791.08,-129336903.4,-4.46,16.06,10301105100.0,日振幅值达到15%的前5只证券
2026-01-19,002342.SZ,巨力索具,10.79,-4.8501,28.74,3418027527.0,308615225.24,182178874.9,490794100.14,-126436350.34,-3.7,14.36,10301105100.0,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002358.SZ,森源电气,7.1,10.0775,1.72,365505680.0,26310033.0,67505894.0,93815927.0,41195861.0,11.27,25.67,6601265484.2,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002361.SZ,神剑股份,13.21,-10.0136,15.04,1609498078.0,99583017.23,111788800.0,211371817.23,12205782.77,0.76,13.13,10688514618.64,日跌幅偏离值达到7%的前5只证券
2026-01-19,002361.SZ,神剑股份,13.21,-10.0136,15.04,1988114540.0,183457863.67,126400808.0,309858671.67,-57057055.67,-2.87,15.59,10688514618.64,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002400.SZ,省广集团,10.6,-7.9861,23.94,16681678290.0,2022848957.0,2219275176.75,4242124133.75,196426219.75,1.18,25.43,18297344950.8,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002446.SZ,盛路通信,11.88,-10.0,21.64,2194745879.0,388463661.89,155943715.83,544407377.72,-232519946.06,-10.59,24.81,10071594276.48,日跌幅偏离值达到7%的前5只证券
2026-01-19,002465.SZ,海格通信,19.4,-10.0186,1.52,1976712648.0,590895636.0,339329988.0,930225624.0,-251565648.0,-12.73,47.06,48071009914.6,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002498.SZ,汉缆股份,4.8,10.0917,0.94,546881506.0,53865711.27,140567626.8,194433338.07,86701915.53,15.85,35.55,15968620800.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002519.SZ,银河电子,8.35,-10.0216,29.16,2748289176.0,331205336.29,195000158.6,526205494.89,-136205177.69,-4.96,19.15,9341858599.35,日跌幅偏离值达到7%的前5只证券
2026-01-19,002519.SZ,银河电子,8.35,-10.0216,29.16,3759193418.0,450531569.12,232952455.6,683484024.72,-217579113.52,-5.79,18.18,9341858599.35,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002546.SZ,新联电子,9.09,10.0484,23.0,4286223935.0,227208957.08,331938478.84,559147435.92,104729521.76,2.44,13.05,7283199752.64,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002558.SZ,巨人网络,49.94,10.0,2.6,2490802584.0,345868216.47,533667265.81,879535482.28,187799049.34,7.54,35.31,96621445513.34,日涨幅偏离值达到7%的前5只证券
2026-01-19,002636.SZ,金安国纪,20.37,9.9892,4.23,2745644138.0,298280347.8,376138257.7,674418605.5,77857909.9,2.84,24.56,14754305044.29,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-19,002757.SZ,南兴股份,19.91,-6.9626,20.54,2186341543.0,215660836.84,189483384.9,405144221.74,-26177451.94,-1.2,18.53,5615693567.11,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,002788.SZ,鹭燕医药,17.71,-10.0102,18.13,1237355104.0,127534464.09,121942339.04,249476803.13,-5592125.05,-0.45,20.16,6761568215.71,日跌幅偏离值达到7%的前5只证券
2026-01-19,003007.SZ,直真科技,43.57,-9.9979,26.61,1106520897.0,102838081.22,107103096.0,209941177.22,4265014.78,0.39,18.97,3132144300.52,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-19,111024.SH,澳弘转债,188.76,20.0,,66337810.0,5653360.0,41166680.0,46820040.0,35513320.0,53.53,70.58,,"非上市首日,当日收盘价涨幅达15%的前五只可转债"
2026-01-19,113575.SH,东时转债,204.174,-20.0002,,826364600.0,171927720.0,171473170.0,343400890.0,-454550.0,-0.06,41.56,,"非上市首日,当日收盘价跌幅达15%的前五只可转债"
2026-01-19,118059.SH,颀中转债,171.229,-0.6083,,115693570.0,31135140.0,26073680.0,57208820.0,-5061460.0,-4.37,49.45,,"非上市首日,当日价格振幅达30%的前五只可转债"
2026-01-19,127042.SZ,嘉美转债,396.0,15.4519,,4324105279.0,764549867.12,775702403.43,1540252270.55,11152536.31,0.26,35.62,,日涨幅达到15%的前5只可转债
2026-01-19,300111.SZ,向日葵,4.88,19.9017,19.63,1130365821.0,94180243.0,135539303.0,229719546.0,41359060.0,3.66,20.32,6281588284.32,日涨幅达到15%的前5只证券
2026-01-19,300215.SZ,电科院,9.52,16.6667,32.81,2140595429.0,233305244.94,268936144.08,502241389.02,35630899.14,1.66,23.46,4758766169.92,连续三个交易日内，涨幅偏离值累计达到30%的证券
2026-01-19,300279.SZ,和晶科技,9.61,19.975,21.21,927961415.0,112606018.74,122853660.8,235459679.54,10247642.06,1.1,25.37,4679533781.22,日涨幅达到15%的前5只证券
2026-01-19,300379.SZ,东通退,1.84,7.6023,8.29,78803273.0,14443662.18,31434628.56,45878290.74,16990966.38,21.56,58.22,969013117.76,退市整理期
2026-01-19,300391.SZ,*ST长药,0.44,-18.5185,22.94,37555075.0,4861757.0,4938039.0,9799796.0,76282.0,0.2,26.09,154147889.28,日跌幅达到15%的前5只证券
2026-01-19,300391.SZ,*ST长药,0.44,-18.5185,22.94,302292108.41,302292108.41,302292108.41,604584216.82,0.0,0.0,200.0,154147889.28,严重异常期间日收盘价格跌幅偏离值累计达到50%的证券
2026-01-19,300427.SZ,红相股份,17.99,15.1729,40.96,3563233678.0,553608161.8,416942598.23,970550760.03,-136665563.57,-3.84,27.24,9049057935.12,日换手率达到30%的前5只证券
2026-01-19,300444.SZ,双杰电气,14.82,20.0,39.16,3440787122.0,165516291.37,429279744.18,594796035.55,263763452.81,7.67,17.29,9209840079.18,日换手率达到30%的前5只证券
2026-01-19,300567.SZ,精测电子,144.41,6.262,10.83,8868298719.0,1740237554.82,1740018431.74,3480255986.56,-219123.08,0.0,39.24,32788013377.21,连续三个交易日内，涨幅偏离值累计达到30%的证券
2026-01-19,300658.SZ,延江股份,17.78,19.973,34.02,1279518775.0,278717701.4,284624986.23,563342687.63,5907284.83,0.46,44.03,4009639168.92,日涨幅达到15%的前5只证券
2026-01-19,300780.SZ,德恩精工,24.19,2.7613,39.15,984372856.0,195657769.95,106398597.95,302056367.9,-89259172.0,-9.07,30.69,2601271940.28,日换手率达到30%的前5只证券
2026-01-19,300855.SZ,图南股份,39.2,17.0848,9.36,1034629268.0,215853531.46,266393918.26,482247449.72,50540386.8,4.88,46.61,11483880609.6,日涨幅达到15%的前5只证券
2026-01-19,301348.SZ,蓝箭电子,32.01,-6.8665,36.66,1789913559.0,148156040.96,220594596.8,368750637.76,72438555.84,4.05,20.6,4966004831.7,日换手率达到30%的前5只证券
2026-01-19,301667.SZ,纳百川,80.88,8.8267,44.29,785892587.0,43815300.93,138674430.19,182489731.12,94859129.26,12.07,23.22,1819351843.92,日换手率达到30%的前5只证券
2026-01-19,600058.SH,五矿发展,14.1,1.1478,11.53,1654749025.0,122343114.17,148161183.21,270504297.38,25818069.04,1.56,16.35,15113941025.1,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-19,600189.SH,泉阳泉,8.11,10.0407,4.59,263249082.0,27500564.0,54331575.9,81832139.9,26831011.9,10.19,31.09,5800254255.32,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-19,600266.SH,城建发展,6.47,-5.6851,17.74,2428949326.0,313698316.34,294204604.36,607902920.7,-19493711.98,-0.8,25.03,13430060490.29,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-19,600302.SH,标准股份,13.31,10.0,9.7,1128202232.0,88728028.24,98420936.44,187148964.68,9692908.2,0.86,16.59,4605390491.24,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,600340.SH,华夏幸福,1.72,8.8608,17.84,1089801380.0,78574711.76,209889488.24,288464200.0,131314776.48,12.05,26.47,6696570706.64,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-19,600343.SH,航天动力,37.19,-9.9952,5.17,8940839772.0,575787001.83,466730898.27,1042517900.1,-109056103.56,-1.22,11.66,23734894082.12,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,600410.SH,华胜天成,20.33,-7.5489,24.62,5515010403.0,582039611.36,470281294.09,1052320905.45,-111758317.27,-2.03,19.08,22291736905.39,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-19,600477.SH,杭萧钢构,3.36,-6.9252,14.66,1861100585.0,120157212.92,100864617.64,221021830.56,-19292595.28,-1.04,11.88,7959726264.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,600537.SH,亿晶光电,3.07,10.0358,24.48,827712370.0,33768753.56,178679158.36,212447911.92,144910404.8,17.51,25.67,3634005105.26,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-19,600550.SH,保变电气,15.69,10.0281,19.68,13689096834.0,847603035.54,1228860395.68,2076463431.22,381257360.14,2.79,15.17,28893581851.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,600556.SH,天下秀,7.41,-1.9841,9.91,4581851274.0,474336618.62,430777643.78,905114262.4,-43558974.84,-0.95,19.75,13395410027.22,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,600776.SH,东方通信,19.03,-9.9811,15.83,3275800564.0,289936435.51,157256136.2,447192571.71,-132680299.31,-4.05,13.65,18354081217.92,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,600785.SH,新华百货,20.7,9.9894,13.17,1546427576.0,139440782.26,190238547.04,329679329.3,50797764.78,3.28,21.32,4670567496.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,600986.SH,浙文互联,9.06,-9.761,22.32,5132002842.0,523365346.75,466067992.42,989433339.17,-57297354.33,-1.12,19.28,13475609001.72,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,601096.SH,宏盛华源,5.31,9.9379,11.65,1780508714.0,176137550.97,181211019.34,357348570.31,5073468.37,0.28,20.07,8724205432.71,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,601106.SH,中国一重,5.14,-3.9252,5.81,5566087259.0,529819166.3,416058885.25,945878051.55,-113760281.05,-2.04,16.99,35249004244.78,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,601116.SH,三江购物,17.6,-10.0204,0.62,60142720.0,16957600.0,7668320.0,24625920.0,-9289280.0,-15.45,40.95,9639139840.0,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
2026-01-19,601133.SH,柏诚股份,18.5,-2.0127,33.9,958280293.0,150196425.37,87197533.75,237393959.12,-62998891.62,-6.57,24.77,2763654764.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-19,601179.SH,中国西电,14.36,10.0383,8.78,6363439443.0,318062561.22,1241956730.18,1560019291.4,923894168.96,14.52,24.52,73607670574.72,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-19,601616.SH,广电电气,5.04,10.0437,15.33,650528949.0,127264334.2,46777747.0,174042081.2,-80486587.2,-12.37,26.75,4302523607.76,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-19,601616.SH,广电电气,5.04,10.0437,15.33,1155964856.0,139007007.2,121696420.25,260703427.45,-17310586.95,-1.5,22.55,4302523607.76,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,601992.SH,金隅集团,1.85,-2.6316,3.33,2996949486.0,417496580.45,216034921.3,633531501.75,-201461659.15,-6.72,21.14,15418192788.4,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-19,603001.SH,奥康国际,9.41,10.0585,6.17,222525973.0,43339504.41,60384956.0,103724460.41,17045451.59,7.66,46.61,3773221800.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-19,603061.SH,金海通,244.06,10.0014,10.69,1853888562.0,357300900.41,311361896.95,668662797.36,-45939003.46,-2.48,36.07,10208135076.04,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,603163.SH,圣晖集成,86.67,-4.915,10.34,908282744.0,180962763.9,187484938.48,368447702.38,6522174.58,0.72,40.57,8667000000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-19,603283.SH,赛腾股份,53.5,8.8948,23.7,3424902770.0,391404690.17,709489650.93,1100894341.1,318084960.76,9.29,32.14,14507810765.5,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-19,603283.SH,赛腾股份,53.5,8.8948,23.7,5565175568.0,601709563.99,1068686639.21,1670396203.2,466977075.22,8.39,30.02,14507810765.5,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,603360.SH,百傲化学,35.9,4.9708,4.69,3062356705.0,350148212.07,447230277.52,797378489.59,97082065.45,3.17,26.04,25353429178.6,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-19,603402.SH,陕西旅游,156.9,1.0303,25.16,769947985.0,206476466.95,135438702.76,341915169.71,-71037764.19,-9.23,44.41,3033400104.6,有价格涨跌幅限制的日换手率达到20%的前五只证券
