交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2026-01-20,000506.SZ,招金黄金,17.57,10.0188,10.69,1677223413.0,446130336.0,281310590.6,727440926.6,-164819745.4,-9.83,43.37,16315227222.77,日涨幅偏离值达到7%的前5只证券
2026-01-20,000506.SZ,招金黄金,17.57,10.0188,10.69,2706937728.0,639801454.4,539341648.88,1179143103.28,-100459805.52,-3.71,43.56,16315227222.77,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,000638.SZ,*ST万方,3.71,-5.1151,0.14,8339359.0,6168700.0,1616254.0,7784954.0,-4552446.0,-54.59,93.35,1150640179.71,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-20,000668.SZ,*ST荣控,13.24,4.5814,5.58,200091323.0,44828458.0,54030139.0,98858597.0,9201681.0,4.6,49.41,1944186623.6,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-20,000681.SZ,视觉中国,26.8,-5.7665,24.46,7888566546.0,841345541.61,689732239.86,1531077781.47,-151613301.75,-1.92,19.41,18123860272.4,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-20,000949.SZ,新乡化纤,7.46,10.0295,8.76,1549690029.0,295266320.42,315333767.8,610600088.22,20067447.38,1.29,39.4,12680916531.98,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,001208.SZ,华菱线缆,24.11,-10.0037,16.57,1066682950.0,158530598.0,77335855.0,235866453.0,-81194743.0,-7.61,22.11,6350519680.17,日跌幅偏离值达到7%的前5只证券
2026-01-20,001260.SZ,坤泰股份,25.5,3.0719,39.56,319808967.0,72388469.0,62835476.36,135223945.36,-9552992.64,-2.99,42.28,809625000.0,日换手率达到20%的前5只证券
2026-01-20,002112.SZ,三变科技,22.9,4.233,56.66,3380465202.0,223191765.45,193888545.95,417080311.4,-29303219.5,-0.87,12.34,6001621695.0,日换手率达到20%的前5只证券
2026-01-20,002115.SZ,三维通信,14.25,-9.981,42.44,5143282880.0,818342437.35,441669427.92,1260011865.27,-376673009.43,-7.32,24.5,10718786331.0,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-20,002115.SZ,三维通信,14.25,-9.981,42.44,4631853395.0,855489583.55,385278303.84,1240767887.39,-470211279.71,-10.15,26.79,10718786331.0,日换手率达到20%的前5只证券
2026-01-20,002119.SZ,康强电子,23.91,1.8313,38.21,3497650683.0,319311953.66,275610245.97,594922199.63,-43701707.69,-1.25,17.01,8973040440.0,日换手率达到20%的前5只证券
2026-01-20,002149.SZ,西部材料,38.3,-10.0094,9.43,1819585173.0,205951218.06,99459322.75,305410540.81,-106491895.31,-5.85,16.78,18695734194.2,日跌幅偏离值达到7%的前5只证券
2026-01-20,002153.SZ,石基信息,14.46,-8.2487,8.71,2066687685.0,326862630.96,330702609.87,657565240.83,3839978.91,0.19,31.82,23132584605.84,日振幅值达到15%的前5只证券
2026-01-20,002156.SZ,通富微电,51.01,5.8518,13.22,27663054493.0,3484385522.74,3500546758.97,6984932281.71,16161236.23,0.06,25.25,77405237844.22,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,002201.SZ,九鼎新材,13.94,10.0237,32.18,2651587330.0,297696566.88,309392083.46,607088650.34,11695516.58,0.44,22.9,8392206474.8,日涨幅偏离值达到7%的前5只证券
2026-01-20,002201.SZ,九鼎新材,13.94,10.0237,32.18,3470407373.0,335779496.6,463623321.92,799402818.52,127843825.32,3.68,23.03,8392206474.8,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,002208.SZ,合肥城建,15.9,10.0346,9.23,4308059658.0,373293767.2,544976227.58,918269994.78,171682460.38,3.99,21.32,12769041689.7,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,002339.SZ,积成电子,11.08,-2.807,37.05,2054798248.0,152721094.22,126905032.95,279626127.17,-25816061.27,-1.26,13.61,5305033132.32,日换手率达到20%的前5只证券
2026-01-20,002361.SZ,神剑股份,11.89,-9.9924,28.21,2767349167.0,197921543.09,192597225.81,390518768.9,-5324317.28,-0.19,14.11,9620472279.76,日跌幅偏离值达到7%的前5只证券
2026-01-20,002446.SZ,盛路通信,10.82,-8.9226,21.7,7625352138.0,1079063387.31,452490157.19,1531553544.5,-626573230.12,-8.22,20.09,9172950342.72,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-20,002546.SZ,新联电子,10.0,10.011,27.38,2156807999.0,258527020.04,214486131.1,473013151.14,-44040888.94,-2.04,21.93,8012320960.0,日涨幅偏离值达到7%的前5只证券
2026-01-20,002584.SZ,西陇科学,10.1,10.0218,26.43,1205506720.0,135223873.0,177221833.5,312445706.5,41997960.5,3.48,25.92,4731107922.7,日涨幅偏离值达到7%的前5只证券
2026-01-20,002689.SZ,ST远智,3.73,5.0704,0.27,262412522.0,23184623.14,19989269.82,43173892.96,-3195353.32,-1.22,16.45,3890059984.52,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-20,002713.SZ,*ST东易,9.21,-4.757,4.53,688725415.0,105802500.6,82377192.24,188179692.84,-23425308.36,-3.4,27.32,4849072653.51,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-20,002716.SZ,湖南白银,12.4,10.0266,19.82,5437686919.0,862907761.28,988455176.65,1851362937.93,125547415.37,2.31,34.05,28828192452.0,日涨幅偏离值达到7%的前5只证券
2026-01-20,002766.SZ,索菱股份,5.87,-2.1667,12.59,1610242836.0,108208594.0,134515489.74,242724083.74,26306895.74,1.63,15.07,5020296861.08,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-20,002792.SZ,通宇通讯,46.14,-10.0059,19.42,3158406804.0,490908267.8,554072670.96,1044980938.76,63164403.16,2.0,33.09,15587221599.48,日跌幅偏离值达到7%的前5只证券
2026-01-20,002842.SZ,翔鹭钨业,20.94,4.1791,28.68,1511698678.0,240674534.62,240326896.0,481001430.62,-347638.62,-0.02,31.82,5621600750.46,日振幅值达到15%的前5只证券
2026-01-20,002931.SZ,锋龙股份,74.77,10.0044,0.26,256789089.0,72363253.51,158872833.87,231236087.38,86509580.36,33.69,90.05,15047726288.56,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,002969.SZ,嘉美包装,18.92,10.0,2.35,1188390845.0,138222996.1,101977639.47,240200635.57,-36245356.63,-3.05,20.21,19234380925.76,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-20,127071.SZ,天箭转债,136.56,-17.2865,,1425785222.0,394868655.69,305308845.54,700177501.23,-89559810.15,-6.28,49.11,,日跌幅达到15%的前5只可转债
2026-01-20,300242.SZ,佳云科技,6.38,19.9248,19.46,750138925.0,82392230.0,205453908.28,287846138.28,123061678.28,16.41,38.37,4048460121.64,日涨幅达到15%的前5只证券
2026-01-20,300344.SZ,*ST立方,0.8,19.403,4.49,22422093.0,3863167.0,2900955.0,6764122.0,-962212.0,-4.29,30.17,511995332.8,日涨幅达到15%的前5只证券
2026-01-20,300379.SZ,东通退,1.84,0.0,13.88,141226135.0,32351932.88,51039767.98,83391700.86,18687835.1,13.23,59.05,969013117.76,退市整理期
2026-01-20,300391.SZ,*ST长药,0.53,20.4545,15.09,26813451.0,2903209.5,3109362.97,6012572.47,206153.47,0.77,22.42,185678139.36,日涨幅达到15%的前5只证券
2026-01-20,300427.SZ,红相股份,18.11,0.667,43.25,3876108363.0,366922001.99,363327739.0,730249740.99,-3594262.99,-0.09,18.84,9109418521.68,日换手率达到30%的前5只证券
2026-01-20,300427.SZ,红相股份,18.11,0.667,43.25,10626515668.0,1152945495.74,1214211088.73,2367156584.47,61265592.99,0.58,22.28,9109418521.68,连续三个交易日内，涨幅偏离值累计达到30%的证券
2026-01-20,300444.SZ,双杰电气,15.36,3.6437,46.79,4528519463.0,516782581.48,352687252.51,869469833.99,-164095328.97,-3.62,19.2,9545421296.64,日换手率达到30%的前5只证券
2026-01-20,300658.SZ,延江股份,19.4,9.1114,28.31,2536922799.0,411300998.12,385418718.32,796719716.44,-25882279.8,-1.02,31.4,4374971871.6,连续三个交易日内，涨幅偏离值累计达到30%的证券
2026-01-20,300927.SZ,江天化学,30.31,19.9921,13.86,564378714.0,41868744.0,164411315.7,206280059.7,122542571.7,21.71,36.55,4270343468.3,日涨幅达到15%的前5只证券
2026-01-20,300986.SZ,志特新材,33.8,19.0141,18.65,2513499758.0,139977984.35,130951400.26,270929384.61,-9026584.09,-0.36,10.78,13913230653.4,日涨幅达到15%的前5只证券
2026-01-20,301171.SZ,易点天下,65.06,-19.9951,1.71,423742286.0,100595772.0,60798570.0,161394342.0,-39797202.0,-9.39,38.09,24780635152.06,日跌幅达到15%的前5只证券
2026-01-20,301218.SZ,华是科技,29.77,1.3274,36.33,713621151.0,123575999.3,111426153.03,235002152.33,-12149846.27,-1.7,32.93,2085949247.72,日换手率达到30%的前5只证券
2026-01-20,301348.SZ,蓝箭电子,35.87,12.0587,46.83,2557412574.0,225200139.37,199875585.59,425075724.96,-25324553.78,-0.99,16.62,5564842027.9,日换手率达到30%的前5只证券
2026-01-20,301563.SZ,云汉芯城,189.4,7.5525,35.5,914463944.0,57282950.32,88132965.0,145415915.32,30850014.68,3.37,15.9,2642453874.0,日换手率达到30%的前5只证券
2026-01-20,600230.SH,沧州大化,18.15,10.0,7.75,966235148.0,130927375.8,258980391.25,389907767.05,128053015.45,13.25,40.35,7513392422.25,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-20,600330.SH,天通股份,11.45,-9.9843,8.85,1277059432.0,137320920.87,213144117.12,350465037.99,75823196.25,5.94,27.44,14122824063.2,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
2026-01-20,600343.SH,航天动力,33.47,-10.0027,6.23,1356680556.0,161623262.29,83287988.0,244911250.29,-78335274.29,-5.77,18.05,21360766467.56,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前五只证券
2026-01-20,600391.SH,航发科技,46.22,9.9952,4.9,1811609984.0,186019474.64,518531266.86,704550741.5,332511792.22,18.35,38.89,15258579342.74,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-20,600397.SH,江钨装备,9.49,-5.8532,7.89,754384685.0,172920496.95,88488935.0,261409431.95,-84431561.95,-11.19,34.65,9394719280.18,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-20,600537.SH,亿晶光电,3.0,-2.2801,22.4,833586353.0,132001718.92,100119464.94,232121183.86,-31882253.98,-3.82,27.85,3551145054.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-20,600550.SH,保变电气,16.25,3.5692,21.69,6519466042.0,778088104.14,563601827.75,1341689931.89,-214486276.39,-3.29,20.58,29924837800.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-20,600637.SH,东方明珠,11.8,-2.237,5.44,9226761446.0,1156045157.39,838841533.93,1994886691.32,-317203623.46,-3.44,21.62,39670417840.6,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-20,600649.SH,城投控股,5.12,10.1075,3.58,451518208.0,72864833.51,120589778.04,193454611.55,47724944.53,10.57,42.85,12823043932.16,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-20,600675.SH,中华企业,3.04,10.1449,3.22,575534983.0,63749836.63,109050927.48,172800764.11,45301090.85,7.87,30.02,18380251406.24,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券
2026-01-20,600696.SH,*ST岩石,2.36,-4.8387,0.21,4551160.0,4382020.0,722802.0,5104822.0,-3659218.0,-80.4,112.17,789347857.16,ST、*ST证券连续三个交易日内收盘价格跌幅偏离值累计达到12%的证券
2026-01-20,600774.SH,汉商集团,11.64,10.0189,14.88,667053883.0,137676146.36,113130483.17,250806629.53,-24545663.19,-3.68,37.6,3431962404.84,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-20,600785.SH,新华百货,21.7,4.8309,24.83,1212704696.0,141124444.98,167734721.69,308859166.67,26610276.71,2.19,25.47,4896198776.0,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-20,600800.SH,渤海化学,4.84,7.5556,14.64,760484117.0,108880058.04,78058574.29,186938632.33,-30821483.75,-4.05,24.58,5371094245.44,有价格涨跌幅限制的日价格振幅达到15%的前五只证券
2026-01-20,600800.SH,渤海化学,4.84,7.5556,14.64,1496330477.0,154172806.94,170631745.88,324804552.82,16458938.94,1.1,21.71,5371094245.44,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券
2026-01-20,601116.SH,三江购物,16.35,-7.1023,15.42,1557859053.0,258949644.8,212914163.86,471863808.66,-46035480.94,-2.96,30.29,8954541840.0,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-20,601133.SH,柏诚股份,18.78,1.5135,27.2,768494690.0,86704399.68,77439445.0,164143844.68,-9264954.68,-1.21,21.36,2805483052.32,有价格涨跌幅限制的日换手率达到20%的前五只证券
2026-01-20,603000.SH,人民网,23.51,-5.8847,16.99,4866409763.0,761760423.93,719355768.02,1481116191.95,-42404655.91,-0.87,30.44,25994796726.56,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券
2026-01-20,603285.SH,键邦股份,30.72,0.8867,21.34,414730090.0,62542113.64,62690994.25,125233107.89,148880.61,0.04,30.2,1913757081.6,有价格涨跌幅限制的日换手率达到20%的前五只证券
