交易日期,题材代码,题材名称,涨停数量,排名上升位数
20260122,000025.KP,AI硬件,7,0
20260122,000226.KP,商业航天,20,0
20260122,000222.KP,涨价概念,4,0
20260122,000355.KP,国产芯片概念,3,5
