板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885728.TI,人工智能,2026-01-12,11,14天11板,31,92,4.8958,1
885806.TI,华为概念,2026-01-12,11,9天7板,26,74,4.0714,2
886100.TI,DeepSeek概念,2026-01-12,2,9天7板,17,62,4.9539,3
886099.TI,AI智能体,2026-01-12,2,6天5板,15,54,7.1536,4
886019.TI,AIGC概念,2026-01-12,2,14天11板,17,51,7.9265,5
885976.TI,数字经济,2026-01-12,2,14天11板,14,51,4.8075,6
886041.TI,数据要素,2026-01-12,2,9天7板,13,48,6.4353,7
886078.TI,商业航天,2026-01-12,12,11天10板,20,47,6.3072,8
885611.TI,阿里巴巴概念,2026-01-12,2,6天5板,14,44,5.9007,9
885700.TI,军工,2026-01-12,15,11天10板,14,43,4.3348,10
885756.TI,芯片概念,2026-01-12,1,11天10板,10,37,2.9861,11
885779.TI,腾讯概念,2026-01-12,1,6天5板,13,36,5.6776,12
885797.TI,百度概念,2026-01-12,1,6天5板,9,34,6.087,13
885517.TI,机器人概念,2026-01-12,12,12天12板,11,34,2.899,14
885413.TI,创投,2026-01-12,2,12天10板,13,34,2.8789,15
885494.TI,一带一路,2026-01-12,4,10天6板,16,34,1.839,16
885574.TI,卫星导航,2026-01-12,4,11天10板,13,33,6.694,17
885418.TI,文化传媒概念,2026-01-12,2,6天5板,12,31,5.5002,18
885950.TI,虚拟数字人,2026-01-12,1,6天5板,10,30,7.2154,19
885757.TI,区块链,2026-01-12,1,6天5板,10,30,5.5364,20
