交易日期,题材代码,题材名称,涨停数量,排名上升位数
20260224,000084.KP,人形机器人,1,0
20260224,000229.KP,电力,7,0
20260224,000281.KP,智谱AI概念,0,0
20260224,000339.KP,石油油气,14,31
