板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885756.TI,芯片概念,2026-01-21,2,3天3板,5,20,1.7201,1
885431.TI,新能源汽车,2026-01-21,1,16天16板,4,18,1.3653,2
885517.TI,机器人概念,2026-01-21,4,16天16板,4,18,1.0556,3
885739.TI,股权转让(并购重组),2026-01-21,3,16天16板,3,16,0.8468,4
885806.TI,华为概念,2026-01-21,1,首板,0,15,0.8312,5
885929.TI,专精特新,2026-01-21,2,3天3板,3,14,1.2937,6
885710.TI,锂电池概念,2026-01-21,2,3天3板,3,13,1.468,7
886086.TI,西部大开发,2026-01-21,1,5天3板,3,13,0.3489,8
885887.TI,数据中心,2026-01-21,1,4天4板,3,12,1.1082,9
885997.TI,比亚迪概念,2026-01-21,1,4天2板,1,11,1.5605,10
885521.TI,粤港澳大湾区,2026-01-21,2,2天2板,2,11,1.1442,11
885552.TI,小金属概念,2026-01-21,1,3天2板,2,10,2.6059,12
885545.TI,汽车电子,2026-01-21,1,4天2板,2,10,1.9852,13
885556.TI,5G,2026-01-21,1,首板,0,10,1.4691,14
885921.TI,储能,2026-01-21,1,首板,0,10,0.8627,15
885494.TI,一带一路,2026-01-21,1,4天2板,2,10,0.5564,16
885728.TI,人工智能,2026-01-21,1,3天2板,2,10,0.4894,17
886100.TI,DeepSeek概念,2026-01-21,1,3天2板,2,10,0.343,18
885705.TI,乡村振兴,2026-01-21,2,2天2板,1,10,0.0419,19
886042.TI,存储芯片,2026-01-21,1,4天2板,2,9,2.8018,20
