板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885552.TI,小金属概念,2026-01-26,1,5天5板,10,21,2.4792,1
885921.TI,储能,2026-01-26,4,3天3板,9,18,-1.2832,2
885530.TI,黄金概念,2026-01-26,1,5天5板,11,17,5.0213,3
885973.TI,金属铜,2026-01-26,1,5天5板,10,15,3.811,4
885517.TI,机器人概念,2026-01-26,7,4天4板,5,15,-2.1309,5
885531.TI,光伏概念,2026-01-26,3,3天3板,7,13,-1.4412,6
885970.TI,金属锌,2026-01-26,1,5天5板,7,12,5.8521,7
886086.TI,西部大开发,2026-01-26,2,5天5板,5,12,-0.7042,8
886100.TI,DeepSeek概念,2026-01-26,1,6天3板,4,12,-1.4491,9
885806.TI,华为概念,2026-01-26,4,5天3板,5,11,-1.9069,10
885756.TI,芯片概念,2026-01-26,5,3天3板,5,11,-2.4411,11
885971.TI,金属铅,2026-01-26,1,5天5板,6,10,6.2206,12
885879.TI,流感,2026-01-26,1,首板,0,10,2.687,13
885494.TI,一带一路,2026-01-26,4,6天3板,4,10,-0.814,14
885641.TI,风电,2026-01-26,2,9天5板,4,10,-0.8632,15
885728.TI,人工智能,2026-01-26,4,6天3板,5,10,-1.79,16
885936.TI,绿色电力,2026-01-26,1,3天3板,4,9,-0.606,17
885739.TI,股权转让(并购重组),2026-01-26,1,6天3板,6,9,-1.1524,18
885710.TI,锂电池概念,2026-01-26,5,5天5板,6,9,-1.2536,19
885929.TI,专精特新,2026-01-26,5,3天3板,2,9,-2.0264,20
