板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885921.TI,储能,2026-02-06,1,8天5板,5,15,0.6823,1
885431.TI,新能源汽车,2026-02-06,1,8天5板,3,14,0.5667,2
885531.TI,光伏概念,2026-02-06,1,6天5板,3,13,0.8124,3
885710.TI,锂电池概念,2026-02-06,1,8天5板,3,12,1.1705,4
885517.TI,机器人概念,2026-02-06,1,3天3板,2,12,0.3437,5
885806.TI,华为概念,2026-02-06,1,6天5板,3,12,0.0686,6
886032.TI,固态电池,2026-02-06,1,8天5板,3,10,1.4186,7
885789.TI,宁德时代概念,2026-02-06,1,8天5板,2,10,1.2035,8
885997.TI,比亚迪概念,2026-02-06,1,3天3板,3,10,0.701,9
885929.TI,专精特新,2026-02-06,1,5天3板,1,10,0.394,10
885641.TI,风电,2026-02-06,1,6天5板,2,9,0.6437,11
886107.TI,2025年报预增,2026-02-06,1,4天2板,1,9,0.2552,12
885800.TI,消费电子概念,2026-02-06,1,4天2板,2,9,0.1446,13
885919.TI,碳中和,2026-02-06,1,3天3板,3,6,0.9165,14
885552.TI,小金属概念,2026-02-06,1,10天8板,1,6,0.9045,15
886069.TI,人形机器人,2026-02-06,1,3天3板,2,6,0.7322,16
885376.TI,苹果概念,2026-02-06,1,4天2板,2,6,0.6519,17
885924.TI,共同富裕示范区,2026-02-06,1,6天5板,3,6,0.5609,18
885494.TI,一带一路,2026-02-06,1,10天8板,4,6,0.3558,19
885699.TI,ST板块,2026-02-06,1,10天8板,3,6,0.2251,20
