板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
881278.TI,电网设备,2026-02-02,1,2天2板,2,12,2.0891,1
885311.TI,智能电网,2026-02-02,1,2天2板,2,12,-0.1083,2
885531.TI,光伏概念,2026-02-02,2,2天2板,2,10,-1.7958,3
885494.TI,一带一路,2026-02-02,1,6天4板,2,10,-2.3569,4
885425.TI,特高压,2026-02-02,1,2天2板,2,9,0.6068,5
885571.TI,核电,2026-02-02,1,2天2板,1,9,-1.3107,6
885641.TI,风电,2026-02-02,1,3天3板,2,9,-1.325,7
885461.TI,充电桩,2026-02-02,1,首板,0,8,-1.1638,8
885699.TI,ST板块,2026-02-02,1,6天4板,3,8,-1.2,9
885921.TI,储能,2026-02-02,2,2天2板,3,8,-1.644,10
885887.TI,数据中心,2026-02-02,2,2天2板,3,8,-1.8399,11
885431.TI,新能源汽车,2026-02-02,5,2天2板,3,8,-2.1008,12
885948.TI,柔性直流输电,2026-02-02,1,2天2板,1,7,1.7933,13
885976.TI,数字经济,2026-02-02,1,3天2板,2,7,-1.8704,14
885521.TI,粤港澳大湾区,2026-02-02,1,3天2板,2,7,-2.0432,15
885728.TI,人工智能,2026-02-02,1,3天2板,2,7,-2.1287,16
885957.TI,东数西算(算力),2026-02-02,1,2天2板,3,7,-2.2764,17
886086.TI,西部大开发,2026-02-02,7,3天3板,4,7,-2.4513,18
885915.TI,物业管理,2026-02-02,1,2天2板,2,6,-1.9543,19
885572.TI,水利,2026-02-02,1,6天4板,1,5,-1.6588,20
