交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2026-01-14,000078.SZ,海王生物,4.49,10.049,26.93,4102474663.0,475216090.35,370361601.64,845577691.99,-104854488.71,-2.56,20.61,11792720709.62,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,000516.SZ,国际医学,6.19,9.9467,20.24,3576251716.0,352016159.53,330575482.07,682591641.6,-21440677.46,-0.6,19.09,13648060305.11,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,000593.SZ,德龙汇能,17.41,9.981,20.33,1727087407.0,371882978.69,268232637.87,640115616.56,-103650340.82,-6.0,37.06,6241191972.29,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,000681.SZ,视觉中国,31.92,1.3977,38.62,8405004663.0,817457748.76,817598064.36,1635055813.12,140315.6,0.0,19.45,21586329100.56,日振幅值达到15%的前5只证券
2026-01-14,000981.SZ,山子高科,5.67,10.0971,24.14,12848478677.0,1065580644.85,2062110887.74,3127691532.59,996530242.89,7.76,24.34,53940729047.31,日涨幅偏离值达到7%的前5只证券
2026-01-14,000981.SZ,山子高科,5.67,10.0971,24.14,32433508396.0,2649147050.08,4269991378.63,6919138428.71,1620844328.55,5.0,21.33,53940729047.31,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,000987.SZ,越秀资本,10.22,-3.5849,6.38,3460361098.0,470234495.51,343919574.43,814154069.94,-126314921.08,-3.65,23.53,51247425278.28,日振幅值达到15%的前5只证券
2026-01-14,001260.SZ,坤泰股份,23.86,8.356,57.91,422169393.0,73446951.87,88505314.31,161952266.18,15058362.44,3.57,38.36,757555000.0,日换手率达到20%的前5只证券
2026-01-14,002044.SZ,美年健康,8.15,9.9865,8.26,2944532017.0,505628378.0,659390020.32,1165018398.32,153761642.32,5.22,39.57,31574955160.05,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002112.SZ,三变科技,19.23,10.0114,4.67,1372037573.0,105274561.91,183727548.32,289002110.23,78452986.41,5.72,21.06,5039789746.5,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002115.SZ,三维通信,19.59,9.9944,1.01,349673289.0,39861957.51,172271257.0,212133214.51,132409299.49,37.87,60.67,14735510471.88,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002131.SZ,利欧股份,9.93,9.9668,10.46,5945085039.0,788238293.44,1426369117.57,2214607411.01,638130824.13,10.73,37.25,58087757751.06,日涨幅偏离值达到7%的前5只证券
2026-01-14,002131.SZ,利欧股份,9.93,9.9668,10.46,6472017496.0,791427689.44,1427197168.57,2218624858.01,635769479.13,9.82,34.28,58087757751.06,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002153.SZ,石基信息,14.67,9.97,1.08,3601654932.0,331997782.59,531333039.73,863330822.32,199335257.14,5.53,23.97,23468535004.68,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002173.SZ,创新医疗,33.4,-4.8704,39.46,5612961863.0,781229361.66,625241078.06,1406470439.72,-155988283.6,-2.78,25.06,13904568396.2,日换手率达到20%的前5只证券
2026-01-14,002195.SZ,岩山科技,13.19,10.0083,34.47,25019458040.0,2631847198.14,2004896771.28,4636743969.42,-626950426.86,-2.51,18.53,73880641981.28,日涨幅偏离值达到7%的前5只证券
2026-01-14,002195.SZ,岩山科技,13.19,10.0083,34.47,58632994217.0,4327688065.86,5011654203.71,9339342269.57,683966137.85,1.17,15.93,73880641981.28,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002207.SZ,准油股份,9.28,2.8825,33.32,795113507.0,73036283.6,63970271.0,137006554.6,-9066012.6,-1.14,17.23,2420334432.0,日振幅值达到15%的前5只证券
2026-01-14,002219.SZ,新里程,2.75,10.0,2.23,721072865.0,125295128.2,141077810.0,266372938.2,15782681.8,2.19,36.94,8998120230.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-14,002231.SZ,*ST奥维,1.04,-4.5872,1.14,69938768.0,7347112.0,7197542.0,14544654.0,-149570.0,-0.21,20.8,320138745.68,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
2026-01-14,002281.SZ,光迅科技,77.12,9.9986,10.83,6271063144.0,663449696.55,1498127432.54,2161577129.09,834677735.99,13.31,34.47,60113293926.08,日涨幅偏离值达到7%的前5只证券
2026-01-14,002342.SZ,巨力索具,14.0,5.3424,34.21,4486605947.0,402488126.86,270298038.61,672786165.47,-132190088.25,-2.95,15.0,13365660000.0,日振幅值达到15%的前5只证券
2026-01-14,002361.SZ,神剑股份,18.12,9.9515,37.99,5417050422.0,408844091.04,289398612.23,698242703.27,-119445478.81,-2.2,12.89,14661308470.08,日换手率达到20%的前5只证券
2026-01-14,002413.SZ,雷科防务,16.31,-9.989,33.07,7127423075.0,912895267.36,371569859.0,1284465126.36,-541325408.36,-7.59,18.02,21090125014.0,日跌幅偏离值达到7%的前5只证券
2026-01-14,002429.SZ,兆驰股份,9.64,10.0457,8.2,8181584614.0,1680086677.68,900135646.63,2580222324.31,-779951031.05,-9.53,31.54,43614570293.52,连续三个交易日内，涨幅偏离值累计达到20%的证券
