交易日期,题材代码,题材名称,涨停数量,排名上升位数
20260107,000226.KP,商业航天,13,0
20260107,000091.KP,脑机接口,6,0
20260107,000099.KP,智能驾驶系统,4,5
20260107,000369.KP,对日反制,6,43
