板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885530.TI,黄金概念,2026-01-28,1,7天7板,15,31,7.5386,1
885552.TI,小金属概念,2026-01-28,3,7天7板,16,27,3.9392,2
881168.TI,工业金属,2026-01-28,1,7天7板,7,20,6.2673,3
885973.TI,金属铜,2026-01-28,1,7天7板,11,20,4.914,4
886086.TI,西部大开发,2026-01-28,4,7天7板,5,19,0.1822,5
885494.TI,一带一路,2026-01-28,6,8天5板,6,19,-0.0333,6
885970.TI,金属锌,2026-01-28,1,7天7板,10,16,6.9101,7
885710.TI,锂电池概念,2026-01-28,1,7天7板,5,16,-0.2958,8
885972.TI,金属回收,2026-01-28,1,7天4板,5,15,3.5151,9
885595.TI,央企国企改革,2026-01-28,2,4天4板,3,15,0.48,10
885971.TI,金属铅,2026-01-28,1,7天7板,8,14,6.9247,11
885431.TI,新能源汽车,2026-01-28,2,4天3板,3,14,-1.0066,12
885756.TI,芯片概念,2026-01-28,2,5天5板,4,12,-0.3843,13
885964.TI,俄乌冲突概念,2026-01-28,1,6天4板,2,10,3.1978,14
881169.TI,贵金属,2026-01-28,1,10天6板,8,9,10.7517,15
885789.TI,宁德时代概念,2026-01-28,1,2天2板,1,9,-0.4591,16
885929.TI,专精特新,2026-01-28,2,5天5板,5,9,-0.8951,17
886089.TI,回购增持再贷款概念,2026-01-28,2,7天4板,3,8,0.041,18
885705.TI,乡村振兴,2026-01-28,2,4天4板,3,8,-0.0142,19
886107.TI,2025年报预增,2026-01-28,1,3天3板,1,8,-0.0528,20
