板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885728.TI,人工智能,2026-01-09,10,13天10板,13,43,2.6004,1
885806.TI,华为概念,2026-01-09,10,6天4板,4,31,2.1625,2
886078.TI,商业航天,2026-01-09,11,10天9板,11,23,2.7325,3
885700.TI,军工,2026-01-09,14,10天9板,9,23,2.2708,4
886100.TI,DeepSeek概念,2026-01-09,1,5天4板,3,22,2.4459,5
885413.TI,创投,2026-01-09,1,11天9板,6,22,1.8249,6
885517.TI,机器人概念,2026-01-09,11,11天11板,6,20,1.3307,7
886099.TI,AI智能体,2026-01-09,1,5天4板,2,19,3.6282,8
885976.TI,数字经济,2026-01-09,1,13天10板,5,19,2.3941,9
886019.TI,AIGC概念,2026-01-09,1,13天10板,2,18,3.9939,10
885378.TI,智慧城市,2026-01-09,1,6天4板,5,18,2.2225,11
885556.TI,5G,2026-01-09,1,10天9板,4,18,2.0679,12
886041.TI,数据要素,2026-01-09,1,5天4板,3,17,3.0552,13
885494.TI,一带一路,2026-01-09,3,13天7板,10,17,1.2629,14
885431.TI,新能源汽车,2026-01-09,30,11天11板,6,17,1.2138,15
885531.TI,光伏概念,2026-01-09,5,13天7板,7,16,0.9867,16
885574.TI,卫星导航,2026-01-09,3,10天9板,5,15,2.9965,17
885887.TI,数据中心,2026-01-09,3,13天10板,4,15,2.0445,18
885929.TI,专精特新,2026-01-09,5,10天9板,3,15,1.2917,19
885699.TI,ST板块,2026-01-09,1,13天10板,12,15,0.6176,20
