板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
886086.TI,西部大开发,2026-02-11,1,3天3板,1,11,0.0705,1
885806.TI,华为概念,2026-02-11,4,3天3板,5,11,-0.4714,2
885641.TI,风电,2026-02-11,1,4天3板,1,10,0.1212,3
885517.TI,机器人概念,2026-02-11,1,首板,0,10,-0.3694,4
885699.TI,ST板块,2026-02-11,1,5天5板,4,9,0.0436,5
885739.TI,股权转让(并购重组),2026-02-11,1,5天5板,2,9,-0.3397,6
885494.TI,一带一路,2026-02-11,3,3天3板,2,8,-0.0394,7
885921.TI,储能,2026-02-11,1,11天8板,3,8,-0.1161,8
885531.TI,光伏概念,2026-02-11,1,3天3板,3,8,-0.2115,9
885700.TI,军工,2026-02-11,1,3天2板,4,8,-0.3179,10
885728.TI,人工智能,2026-02-11,5,3天3板,4,8,-0.6964,11
885552.TI,小金属概念,2026-02-11,1,4天2板,1,7,1.9512,12
886032.TI,固态电池,2026-02-11,1,11天8板,1,7,0.8277,13
885959.TI,PCB概念,2026-02-11,1,首板,0,7,0.3822,14
885705.TI,乡村振兴,2026-02-11,1,3天3板,1,7,-0.1591,15
885431.TI,新能源汽车,2026-02-11,1,11天8板,1,7,-0.2292,16
885887.TI,数据中心,2026-02-11,3,3天3板,3,7,-0.4151,17
885957.TI,东数西算(算力),2026-02-11,1,3天3板,3,7,-0.4053,17
885973.TI,金属铜,2026-02-11,1,4天2板,1,6,2.0318,18
885789.TI,宁德时代概念,2026-02-11,1,11天8板,1,6,0.5459,19
885710.TI,锂电池概念,2026-02-11,1,11天8板,1,6,0.4428,20
