板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885728.TI,人工智能,2026-01-13,12,7天6板,14,29,-1.2679,1
886100.TI,DeepSeek概念,2026-01-13,3,7天6板,9,18,-1.1501,2
886099.TI,AI智能体,2026-01-13,3,7天6板,9,15,-1.2507,3
885806.TI,华为概念,2026-01-13,12,7天6板,10,15,-2.0215,4
885402.TI,智能医疗,2026-01-13,1,7天5板,3,14,0.675,5
886041.TI,数据要素,2026-01-13,3,7天6板,10,14,-1.2152,6
886019.TI,AIGC概念,2026-01-13,3,7天6板,10,13,-0.6474,7
885611.TI,阿里巴巴概念,2026-01-13,3,7天6板,9,13,-1.1784,8
885921.TI,储能,2026-01-13,1,4天4板,5,12,-1.3332,9
885531.TI,光伏概念,2026-01-13,1,4天4板,5,12,-1.4274,10
881175.TI,医疗服务,2026-01-13,1,3天3板,2,11,4.4397,11
886086.TI,西部大开发,2026-01-13,1,7天7板,3,11,-1.0758,12
885739.TI,股权转让(并购重组),2026-01-13,1,13天13板,5,11,-1.2032,13
885494.TI,一带一路,2026-01-13,5,4天4板,7,10,-1.1974,14
885418.TI,文化传媒概念,2026-01-13,3,7天6板,8,9,-0.2919,15
885699.TI,ST板块,2026-01-13,1,7天7板,4,9,-0.5793,16
885890.TI,抖音概念(字节概念),2026-01-13,2,7天6板,7,9,-1.2399,17
885413.TI,创投,2026-01-13,3,13天11板,7,9,-1.5151,18
885757.TI,区块链,2026-01-13,1,3天3板,6,9,-1.63,19
885517.TI,机器人概念,2026-01-13,13,13天13板,2,9,-2.1038,20
