板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885531.TI,光伏概念,2026-02-03,3,3天3板,7,25,3.4541,1
885921.TI,储能,2026-02-03,3,5天4板,6,25,2.6686,2
886078.TI,商业航天,2026-02-03,1,4天2板,3,22,3.9546,3
885431.TI,新能源汽车,2026-02-03,6,5天4板,4,20,2.5526,4
885887.TI,数据中心,2026-02-03,3,3天3板,5,18,3.1979,5
885806.TI,华为概念,2026-02-03,1,11天5板,2,16,2.8839,6
885710.TI,锂电池概念,2026-02-03,1,5天4板,4,15,2.8757,7
885494.TI,一带一路,2026-02-03,2,7天5板,3,15,2.5252,8
885517.TI,机器人概念,2026-02-03,1,2天2板,2,14,2.6057,9
885756.TI,芯片概念,2026-02-03,1,3天2板,1,13,3.3442,10
885641.TI,风电,2026-02-03,2,3天3板,4,13,2.7241,11
885699.TI,ST板块,2026-02-03,1,7天5板,6,13,0.7788,12
885427.TI,高端装备,2026-02-03,1,3天2板,3,12,3.5142,13
885700.TI,军工,2026-02-03,1,3天2板,2,12,3.1098,14
885564.TI,无人机,2026-02-03,1,7天5板,3,12,3.0369,15
885413.TI,创投,2026-02-03,1,3天2板,2,12,2.2435,16
886032.TI,固态电池,2026-02-03,1,5天4板,1,11,3.2719,17
885957.TI,东数西算(算力),2026-02-03,2,11天5板,5,11,3.1815,18
885571.TI,核电,2026-02-03,2,2天2板,3,11,3.0812,19
886067.TI,低空经济,2026-02-03,1,4天2板,2,11,2.8682,20
