板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885431.TI,新能源汽车,2026-01-30,4,5天3板,2,18,0.0414,1
885756.TI,芯片概念,2026-01-30,1,7天6板,1,13,0.1524,2
885806.TI,华为概念,2026-01-30,1,首板,0,13,-0.4071,3
885556.TI,5G,2026-01-30,1,7天6板,1,11,0.1268,4
885699.TI,ST板块,2026-01-30,1,7天6板,4,9,0.0954,5
885887.TI,数据中心,2026-01-30,1,首板,0,9,0.0069,6
885921.TI,储能,2026-01-30,1,5天3板,2,9,-0.3014,7
886107.TI,2025年报预增,2026-01-30,3,5天5板,2,8,0.1974,8
885997.TI,比亚迪概念,2026-01-30,1,5天3板,1,8,0.0052,9
885705.TI,乡村振兴,2026-01-30,2,5天5板,4,8,-0.0925,10
885531.TI,光伏概念,2026-01-30,1,5天3板,1,8,-0.3983,11
886084.TI,光纤概念,2026-01-30,1,首板,0,7,2.3904,12
885929.TI,专精特新,2026-01-30,1,7天6板,1,7,0.1971,13
885521.TI,粤港澳大湾区,2026-01-30,1,首板,0,7,-0.2632,14
885890.TI,抖音概念(字节概念),2026-01-30,1,10天6板,1,7,-0.318,15
885957.TI,东数西算(算力),2026-01-30,1,首板,0,7,-0.3683,16
885728.TI,人工智能,2026-01-30,2,10天6板,1,7,-0.7505,17
885812.TI,农业种植,2026-01-30,1,3天2板,3,6,1.3869,18
885800.TI,消费电子概念,2026-01-30,1,首板,0,6,0.0963,19
885709.TI,虚拟现实,2026-01-30,1,10天6板,2,6,0.0498,20
