板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885531.TI,光伏概念,2026-02-09,2,7天4板,8,25,2.6724,1
885921.TI,储能,2026-02-09,2,9天6板,10,25,2.0499,2
885806.TI,华为概念,2026-02-09,2,7天6板,6,24,2.638,3
885494.TI,一带一路,2026-02-09,1,11天9板,5,19,1.6541,4
885728.TI,人工智能,2026-02-09,3,6天4板,2,17,2.3395,5
885418.TI,文化传媒概念,2026-02-09,1,8天6板,2,15,3.734,6
885756.TI,芯片概念,2026-02-09,1,7天4板,3,15,2.793,7
885783.TI,工业互联网,2026-02-09,1,4天4板,1,15,2.2344,8
885641.TI,风电,2026-02-09,2,2天2板,2,15,1.831,9
885431.TI,新能源汽车,2026-02-09,2,9天6板,7,14,1.8697,10
886019.TI,AIGC概念,2026-02-09,1,2天2板,1,13,3.7335,11
885709.TI,虚拟现实,2026-02-09,1,8天6板,4,13,3.2169,12
885887.TI,数据中心,2026-02-09,1,7天4板,2,13,2.9029,13
886078.TI,商业航天,2026-02-09,1,7天4板,3,13,2.3627,14
885517.TI,机器人概念,2026-02-09,2,6天4板,3,13,1.8809,15
885699.TI,ST板块,2026-02-09,1,11天9板,8,13,0.7672,16
886108.TI,AI应用,2026-02-09,1,8天6板,2,12,3.022,17
886095.TI,IP经济(谷子经济),2026-02-09,1,8天6板,2,12,2.7954,18
885929.TI,专精特新,2026-02-09,2,2天2板,1,12,1.9802,19
886006.TI,钙钛矿电池,2026-02-09,1,6天4板,4,11,3.8689,20
