板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885699.TI,ST板块,2026-02-25,1,17天13板,12,26,1.9283,1
886086.TI,西部大开发,2026-02-25,3,5天3板,5,20,1.2939,2
885494.TI,一带一路,2026-02-25,7,17天13板,8,19,1.1212,3
885739.TI,股权转让(并购重组),2026-02-25,2,9天8板,7,18,1.1596,4
885728.TI,人工智能,2026-02-25,1,5天5板,6,17,0.5657,5
885552.TI,小金属概念,2026-02-25,1,17天13板,4,16,3.9995,6
885710.TI,锂电池概念,2026-02-25,2,5天3板,6,16,1.8641,7
885756.TI,芯片概念,2026-02-25,1,5天3板,4,16,1.2834,8
885705.TI,乡村振兴,2026-02-25,2,17天13板,4,13,1.0982,9
885700.TI,军工,2026-02-25,1,6天6板,3,12,1.1536,10
885531.TI,光伏概念,2026-02-25,2,2天2板,2,11,1.4538,11
885431.TI,新能源汽车,2026-02-25,5,5天3板,2,11,0.89,12
885806.TI,华为概念,2026-02-25,8,5天5板,4,11,0.7056,13
885976.TI,数字经济,2026-02-25,1,4天4板,3,11,0.6229,14
885921.TI,储能,2026-02-25,5,5天5板,2,10,1.0552,15
885970.TI,金属锌,2026-02-25,1,17天13板,2,9,4.9406,16
885863.TI,磷化工,2026-02-25,2,5天3板,6,9,4.5117,17
885973.TI,金属铜,2026-02-25,1,5天3板,2,9,4.0205,18
886089.TI,回购增持再贷款概念,2026-02-25,2,4天3板,2,9,1.3074,19
885919.TI,碳中和,2026-02-25,1,5天5板,4,9,1.2148,20
