板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885756.TI,芯片概念,2026-01-15,2,5天3板,4,17,0.1575,1
885806.TI,华为概念,2026-01-15,14,10天7板,7,11,-1.1113,2
886086.TI,西部大开发,2026-01-15,1,4天4板,3,10,-0.4857,3
885728.TI,人工智能,2026-01-15,14,10天7板,8,10,-2.009,4
885494.TI,一带一路,2026-01-15,1,5天3板,4,9,-0.3888,5
885705.TI,乡村振兴,2026-01-15,1,2天2板,2,9,-0.6668,6
885431.TI,新能源汽车,2026-01-15,1,4天4板,2,8,0.1669,7
885531.TI,光伏概念,2026-01-15,1,4天4板,3,8,0.1232,8
885699.TI,ST板块,2026-01-15,1,10天7板,4,8,0.0424,9
885700.TI,军工,2026-01-15,1,10天7板,4,8,-1.3652,10
885988.TI,统一大市场,2026-01-15,1,3天3板,5,7,0.1098,11
885521.TI,粤港澳大湾区,2026-01-15,1,4天4板,3,7,-0.4406,12
885517.TI,机器人概念,2026-01-15,2,3天3板,2,7,-0.6434,13
885739.TI,股权转让(并购重组),2026-01-15,1,3天3板,1,7,-0.7154,14
885757.TI,区块链,2026-01-15,2,4天4板,5,7,-1.7178,15
885890.TI,抖音概念(字节概念),2026-01-15,4,5天3板,5,7,-2.4598,16
886099.TI,AI智能体,2026-01-15,5,4天4板,7,7,-2.7906,17
886042.TI,存储芯片,2026-01-15,1,首板,0,6,2.3301,18
886108.TI,AI应用,2026-01-15,3,4天4板,7,7,-3.155,18
885929.TI,专精特新,2026-01-15,2,4天4板,3,6,-0.1702,19
886089.TI,回购增持再贷款概念,2026-01-15,1,4天3板,3,6,-0.1993,20
