交易日期,题材代码,题材名称,涨停数量,排名上升位数
20260209,000226.KP,商业航天,11,0
20260209,000341.KP,短剧产业,11,23
20260209,000219.KP,量子科技,1,32
20260209,000294.KP,字节跳动概念,7,21
