板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885517.TI,机器人概念,2026-01-06,8,8天8板,22,36,1.3681,1
885728.TI,人工智能,2026-01-06,7,10天7板,21,32,1.3328,2
885806.TI,华为概念,2026-01-06,7,8天6板,14,28,1.3141,3
885700.TI,军工,2026-01-06,11,8天6板,15,26,1.5398,4
886078.TI,商业航天,2026-01-06,8,7天6板,14,23,2.0418,5
886086.TI,西部大开发,2026-01-06,1,10天6板,7,23,1.7169,6
885699.TI,ST板块,2026-01-06,1,10天7板,13,23,1.2014,7
885431.TI,新能源汽车,2026-01-06,27,8天8板,6,21,1.1933,8
885531.TI,光伏概念,2026-01-06,2,10天6板,5,20,1.7242,9
885929.TI,专精特新,2026-01-06,2,8天6板,13,20,1.2486,10
885736.TI,无人驾驶,2026-01-06,1,5天5板,9,19,2.2998,11
885564.TI,无人机,2026-01-06,1,5天5板,9,19,1.574,12
886047.TI,脑机接口,2026-01-06,2,5天3板,18,18,5.7387,13
885756.TI,芯片概念,2026-01-06,3,7天6板,10,18,1.4409,14
885739.TI,股权转让(并购重组),2026-01-06,1,13天13板,5,17,1.4238,15
886100.TI,DeepSeek概念,2026-01-06,3,5天5板,12,17,1.3773,16
885539.TI,医疗器械概念,2026-01-06,2,3天3板,14,17,1.2023,17
886067.TI,低空经济,2026-01-06,1,5天5板,9,16,1.4999,18
885743.TI,军民融合,2026-01-06,1,7天6板,8,15,1.814,19
885921.TI,储能,2026-01-06,1,5天3板,6,15,1.312,20
