板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885921.TI,储能,2026-02-12,2,4天4板,6,23,1.0109,1
885887.TI,数据中心,2026-02-12,1,4天4板,6,20,1.9276,2
885494.TI,一带一路,2026-02-12,4,14天10板,7,20,0.1217,3
885806.TI,华为概念,2026-02-12,5,4天4板,7,19,0.8874,4
885431.TI,新能源汽车,2026-02-12,2,2天2板,1,19,0.807,5
885641.TI,风电,2026-02-12,2,4天2板,7,17,1.013,6
886107.TI,2025年报预增,2026-02-12,1,2天2板,3,14,0.7041,7
885957.TI,东数西算(算力),2026-02-12,2,4天4板,5,13,1.5533,8
885531.TI,光伏概念,2026-02-12,2,4天4板,4,13,0.7825,9
885728.TI,人工智能,2026-02-12,1,4天4板,5,13,0.2748,10
886044.TI,液冷服务器,2026-02-12,1,4天2板,1,11,2.8553,11
885571.TI,核电,2026-02-12,1,4天2板,3,11,1.3025,12
885556.TI,5G,2026-02-12,1,3天3板,3,10,1.4387,13
885756.TI,芯片概念,2026-02-12,1,2天2板,2,10,1.1644,14
885427.TI,高端装备,2026-02-12,1,4天2板,3,10,0.8846,15
885997.TI,比亚迪概念,2026-02-12,1,首板,0,10,0.811,16
885929.TI,专精特新,2026-02-12,1,4天2板,2,10,0.6905,17
886086.TI,西部大开发,2026-02-12,2,4天2板,6,10,-0.2652,18
885311.TI,智能电网,2026-02-12,1,3天3板,3,9,1.6969,19
885461.TI,充电桩,2026-02-12,1,4天2板,2,9,1.1695,20
