板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885418.TI,文化传媒概念,2026-02-10,2,9天7板,13,30,3.7176,1
886108.TI,AI应用,2026-02-10,2,9天7板,10,20,1.5498,2
885728.TI,人工智能,2026-02-10,4,4天2板,8,19,0.6756,3
886095.TI,IP经济(谷子经济),2026-02-10,2,9天7板,9,18,2.3008,4
886060.TI,短剧游戏,2026-02-10,1,9天7板,9,17,5.3151,5
885890.TI,抖音概念(字节概念),2026-02-10,1,2天2板,9,17,2.2366,6
886019.TI,AIGC概念,2026-02-10,2,2天2板,8,15,1.9479,7
886100.TI,DeepSeek概念,2026-02-10,2,4天2板,6,15,0.7969,8
885806.TI,华为概念,2026-02-10,3,2天2板,6,15,0.541,9
881274.TI,影视院线,2026-02-10,1,9天7板,6,14,11.3069,10
881164.TI,传媒,2026-02-10,1,2天2板,6,13,4.4125,11
885779.TI,腾讯概念,2026-02-10,1,2天2板,4,13,1.7111,12
885611.TI,阿里巴巴概念,2026-02-10,1,2天2板,6,13,1.3946,13
886041.TI,数据要素,2026-02-10,1,2天2板,6,13,1.0368,14
885950.TI,虚拟数字人,2026-02-10,1,2天2板,5,12,2.2763,15
885709.TI,虚拟现实,2026-02-10,2,9天7板,6,12,1.2249,16
886099.TI,AI智能体,2026-02-10,2,2天2板,6,12,1.1841,17
885699.TI,ST板块,2026-02-10,1,4天4板,4,11,0.1135,18
885797.TI,百度概念,2026-02-10,1,2天2板,4,9,1.4526,19
885976.TI,数字经济,2026-02-10,1,2天2板,3,9,0.6105,20
