交易日期,股票代码,股票名称,收盘价,涨跌幅%,换手率%,总成交额(元),龙虎榜卖出额(元),龙虎榜买入额(元),龙虎榜成交额(元),龙虎榜净买入额(元),龙虎榜净买额占比%,龙虎榜成交额占比%,当日流通市值(元),上榜理由
2026-01-16,000620.SZ,盈新发展,3.36,10.1639,12.53,1894028095.0,209685592.54,359773097.41,569458689.95,150087504.87,7.92,30.07,15697076018.4,日涨幅偏离值达到7%的前5只证券
2026-01-16,001208.SZ,华菱线缆,25.44,7.1158,33.12,2207582883.0,257645408.95,316468819.32,574114228.27,58823410.37,2.66,26.01,6700838683.68,日换手率达到20%的前5只证券
2026-01-16,001331.SZ,胜通能源,49.8,-5.0162,9.9,2714608661.0,169189437.26,215034484.54,384223921.8,45845047.28,1.69,14.15,8360208814.2,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-16,002028.SZ,思源电气,185.9,10.0,2.51,2829781132.0,779389827.34,857153861.28,1636543688.62,77764033.94,2.75,57.83,113300285426.9,日涨幅偏离值达到7%的前5只证券
2026-01-16,002044.SZ,美年健康,7.66,-9.9882,17.5,5288710384.0,1055800552.15,1635186545.71,2690987097.86,579385993.56,10.96,50.88,29676583622.82,日跌幅偏离值达到7%的前5只证券
2026-01-16,002048.SZ,宁波华翔,32.21,10.0068,10.32,2318460061.0,621508699.92,619320457.36,1240829157.28,-2188242.56,-0.09,53.52,22862702546.43,日涨幅偏离值达到7%的前5只证券
2026-01-16,002112.SZ,三变科技,19.97,-5.5792,60.76,3553961501.0,315668142.0,187956974.88,503625116.88,-127711167.12,-3.59,14.17,5233728613.5,日振幅值达到15%的前5只证券
2026-01-16,002114.SZ,罗平锌电,9.73,-4.1379,29.01,974096695.0,87749139.84,92830126.25,180579266.09,5080986.41,0.52,18.54,3146592707.79,日振幅值达到15%的前5只证券
2026-01-16,002119.SZ,康强电子,21.85,10.0201,19.25,1545319738.0,281292400.81,242762702.99,524055103.8,-38529697.82,-2.49,33.91,8199955400.0,日涨幅偏离值达到7%的前5只证券
2026-01-16,002119.SZ,康强电子,21.85,10.0201,19.25,2530634042.0,408950195.51,463025129.73,871975325.24,54074934.22,2.14,34.46,8199955400.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
2026-01-16,002156.SZ,通富微电,46.86,10.0,11.71,8013739702.0,1008139395.39,1038271899.48,2046411294.87,30132504.09,0.38,25.54,71107811122.92,日涨幅偏离值达到7%的前5只证券
2026-01-16,002202.SZ,金风科技,27.04,-9.9867,2.05,1866936240.0,390928096.0,214010784.0,604938880.0,-176917312.0,-9.48,32.4,90967469950.24,日跌幅偏离值达到7%的前5只证券
2026-01-16,002202.SZ,金风科技,27.04,-9.9867,2.05,33104025369.0,3548692899.97,2451850523.51,6000543423.48,-1096842376.46,-3.31,18.13,90967469950.24,连续三个交易日内，跌幅偏离值累计达到20%的证券
2026-01-16,002218.SZ,拓日新能,5.15,-8.0357,30.37,2348570068.0,519774061.74,173280217.84,693054279.58,-346493843.9,-14.75,29.51,7170850982.35,日振幅值达到15%的前5只证券
2026-01-16,002400.SZ,省广集团,11.52,-10.0,15.87,3251638527.0,794259151.9,450986777.66,1245245929.56,-343272374.24,-10.56,38.3,19885416399.36,日跌幅偏离值达到7%的前5只证券
