板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885531.TI,光伏概念,2026-02-04,4,4天4板,8,26,1.3843,1
885921.TI,储能,2026-02-04,4,4天4板,8,17,0.8569,2
885431.TI,新能源汽车,2026-02-04,7,4天4板,5,16,0.3879,3
881105.TI,煤炭开采加工,2026-02-04,1,首板,0,14,7.9165,4
885914.TI,煤炭概念,2026-02-04,1,首板,0,14,4.2202,5
885641.TI,风电,2026-02-04,3,5天4板,5,14,1.1476,6
885929.TI,专精特新,2026-02-04,4,3天3板,3,13,-0.0515,7
885494.TI,一带一路,2026-02-04,3,8天6板,5,12,0.8054,8
885517.TI,机器人概念,2026-02-04,2,3天3板,3,12,0.1138,9
881279.TI,光伏设备,2026-02-04,1,3天3板,4,11,5.1774,10
885823.TI,氢能源,2026-02-04,1,2天2板,3,11,1.5897,11
885887.TI,数据中心,2026-02-04,4,9天6板,6,11,-0.4567,12
885398.TI,煤化工概念,2026-02-04,1,首板,0,10,2.6045,13
885710.TI,锂电池概念,2026-02-04,2,4天4板,4,10,0.6255,14
885521.TI,粤港澳大湾区,2026-02-04,1,4天4板,3,10,0.2665,15
885571.TI,核电,2026-02-04,3,3天3板,4,9,0.6074,16
885699.TI,ST板块,2026-02-04,1,9天6板,6,9,0.5464,17
885728.TI,人工智能,2026-02-04,1,9天6板,4,9,-0.567,18
886007.TI,TOPCON电池,2026-02-04,1,3天3板,2,8,3.5354,19
886006.TI,钙钛矿电池,2026-02-04,2,3天3板,3,8,3.3998,20
