板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
886086.TI,西部大开发,2026-01-29,5,8天8板,5,22,-0.1045,1
885525.TI,白酒概念,2026-01-29,1,首板,0,21,5.2338,2
881273.TI,白酒,2026-01-29,1,首板,0,18,9.6845,3
885728.TI,人工智能,2026-01-29,1,9天5板,3,13,-0.3158,4
885494.TI,一带一路,2026-01-29,7,9天6板,6,13,-0.6988,5
885418.TI,文化传媒概念,2026-01-29,1,9天5板,2,10,2.1628,6
885552.TI,小金属概念,2026-01-29,4,8天8板,9,10,-0.3955,7
885530.TI,黄金概念,2026-01-29,2,8天8板,9,9,0.9696,8
885705.TI,乡村振兴,2026-01-29,1,4天4板,2,9,0.1839,9
885976.TI,数字经济,2026-01-29,1,9天5板,3,9,0.0001,10
886089.TI,回购增持再贷款概念,2026-01-29,3,5天5板,2,9,-0.7053,11
886019.TI,AIGC概念,2026-01-29,1,9天5板,2,8,1.56,12
885915.TI,物业管理,2026-01-29,1,首板,0,8,0.7823,13
885430.TI,天然气,2026-01-29,1,7天5板,5,8,0.3741,14
885431.TI,新能源汽车,2026-01-29,3,5天4板,2,8,-1.8844,15
886107.TI,2025年报预增,2026-01-29,2,4天4板,3,8,-1.1743,15
881153.TI,房地产开发,2026-01-29,1,首板,0,7,2.3266,16
885964.TI,俄乌冲突概念,2026-01-29,2,7天5板,5,7,1.8915,17
885950.TI,虚拟数字人,2026-01-29,1,9天5板,2,7,1.591,18
881168.TI,工业金属,2026-01-29,2,8天8板,6,7,1.2741,19
886095.TI,IP经济(谷子经济),2026-01-29,1,9天5板,1,7,1.1364,20
