交易日期,题材代码,题材名称,涨停数量,排名上升位数
20260205,000226.KP,商业航天,2,0
20260205,000252.KP,光伏,1,0
20260205,000287.KP,腾讯AI概念,2,0
20260205,000387.KP,云计算,2,235
