板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
886078.TI,商业航天,2026-01-22,1,7天4板,4,27,2.655,1
885806.TI,华为概念,2026-01-22,2,4天3板,5,22,1.0156,2
885494.TI,一带一路,2026-01-22,2,2天2板,4,20,1.3412,3
885699.TI,ST板块,2026-01-22,1,4天3板,6,19,1.4606,4
885431.TI,新能源汽车,2026-01-22,2,17天17板,3,18,0.6035,5
885700.TI,军工,2026-01-22,1,4天3板,5,17,1.8239,6
885531.TI,光伏概念,2026-01-22,1,3天3板,2,17,1.1053,7
885728.TI,人工智能,2026-01-22,2,3天3板,4,17,0.9238,8
885517.TI,机器人概念,2026-01-22,5,17天17板,6,17,0.6867,9
885887.TI,数据中心,2026-01-22,2,3天3板,4,16,1.3125,10
885921.TI,储能,2026-01-22,2,2天2板,1,15,0.7908,11
885756.TI,芯片概念,2026-01-22,3,4天4板,5,15,0.5439,12
885957.TI,东数西算(算力),2026-01-22,1,3天3板,1,13,1.526,13
885427.TI,高端装备,2026-01-22,1,4天3板,4,13,1.2961,14
885929.TI,专精特新,2026-01-22,3,4天4板,5,13,0.6111,15
885556.TI,5G,2026-01-22,2,2天2板,2,12,1.3959,16
885739.TI,股权转让(并购重组),2026-01-22,4,25天17板,4,12,1.0327,17
885413.TI,创投,2026-01-22,1,7天4板,2,12,0.9958,18
885461.TI,充电桩,2026-01-22,1,首板,0,12,0.757,19
885710.TI,锂电池概念,2026-01-22,3,4天4板,3,12,0.6141,20
