板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885915.TI,物业管理,2026-01-20,1,3天2板,2,9,0.7831,1
885521.TI,粤港澳大湾区,2026-01-20,1,首板,0,9,-0.492,2
881109.TI,化学制品,2026-01-20,1,2天2板,2,8,1.2813,3
885699.TI,ST板块,2026-01-20,1,2天2板,3,8,-0.17,4
885739.TI,股权转让(并购重组),2026-01-20,2,23天16板,3,8,-0.4821,5
885461.TI,充电桩,2026-01-20,2,4天3板,4,7,-0.866,6
885710.TI,锂电池概念,2026-01-20,1,2天2板,1,7,-0.9951,7
885517.TI,机器人概念,2026-01-20,3,15天15板,4,7,-1.1073,8
885418.TI,文化传媒概念,2026-01-20,1,2天2板,1,6,0.0333,9
886089.TI,回购增持再贷款概念,2026-01-20,1,23天16板,1,6,-0.0601,10
885705.TI,乡村振兴,2026-01-20,1,首板,0,6,-0.0935,11
885595.TI,央企国企改革,2026-01-20,2,2天2板,2,6,-0.1161,12
885413.TI,创投,2026-01-20,1,5天3板,2,6,-0.4104,13
885311.TI,智能电网,2026-01-20,4,4天3板,4,6,-0.5907,14
885641.TI,风电,2026-01-20,2,5天3板,4,6,-0.6763,15
885756.TI,芯片概念,2026-01-20,1,4天2板,2,6,-0.9501,16
885531.TI,光伏概念,2026-01-20,4,3天3板,1,6,-1.0969,17
885929.TI,专精特新,2026-01-20,1,2天2板,2,6,-1.123,18
885936.TI,绿色电力,2026-01-20,2,3天3板,2,5,0.2973,19
885412.TI,污水处理,2026-01-20,1,首板,0,5,0.0557,20
