板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885531.TI,光伏概念,2026-01-23,2,4天4板,7,46,3.468,1
885921.TI,储能,2026-01-23,3,3天2板,5,33,2.0506,2
886078.TI,商业航天,2026-01-23,2,3天3板,6,29,3.6587,3
885929.TI,专精特新,2026-01-23,4,5天5板,6,23,1.9132,4
885756.TI,芯片概念,2026-01-23,4,5天5板,6,23,1.8916,5
881279.TI,光伏设备,2026-01-23,1,2天2板,1,22,10.0732,6
886006.TI,钙钛矿电池,2026-01-23,1,3天2板,3,22,8.2372,7
885431.TI,新能源汽车,2026-01-23,3,18天18板,4,21,1.7596,8
885710.TI,锂电池概念,2026-01-23,4,5天5板,5,20,2.601,9
885806.TI,华为概念,2026-01-23,3,5天4板,6,20,1.7724,10
886067.TI,低空经济,2026-01-23,1,5天3板,3,19,2.4752,11
885700.TI,军工,2026-01-23,2,5天4板,5,19,2.4097,12
885728.TI,人工智能,2026-01-23,3,4天2板,4,19,1.7943,13
885517.TI,机器人概念,2026-01-23,6,18天18板,2,18,1.7283,14
886007.TI,TOPCON电池,2026-01-23,1,2天2板,2,17,7.3914,15
886086.TI,西部大开发,2026-01-23,1,5天4板,6,17,1.5785,16
885699.TI,ST板块,2026-01-23,1,5天4板,11,17,1.0208,17
885878.TI,HJT电池,2026-01-23,1,2天2板,2,16,7.3004,18
885494.TI,一带一路,2026-01-23,3,3天3板,2,16,1.3651,19
885564.TI,无人机,2026-01-23,1,3天3板,1,15,2.3554,20
